InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,CustomerName,CustomerEmail
INV000001,ELE7252,Speaker,39,2023-04-12 12:10:47,99.62,C0077,Belgium,Electronics,James Elliott,millerroy@example.com
INV000001,ELE5371,Keyboard,50,2024-09-14 11:27:22,64.46,C0002,United Kingdom,Electronics,Angie Henderson,davisjesse@example.net
INV000002,BOO3927,Atlas,33,2025-02-02 21:38:26,91.35,C0093,Canada,Books,Alan Phillips,tholt@example.net
INV000003,CLO7126,Dress,49,2023-04-26 01:59:00,16.99,C0078,Italy,Clothing,David Murphy,wmurphy@example.com
INV000003,BOO1319,Dictionary,8,2025-06-15 08:54:28,92.98,C0077,Belgium,Books,James Elliott,millerroy@example.com
INV000004,CLO2290,Boots,6,2023-03-25 06:41:28,73.46,C0008,France,Clothing,Dr. Sharon James,xreid@example.org
INV000005,CLO3705,Shorts,17,2023-08-24 16:47:34,53.24,C0017,Belgium,Clothing,Patricia Peterson,ryan70@example.net
INV000005,CLO7537,Shoes,43,2023-08-20 18:29:20,65.34,C0097,EIRE,Clothing,Paige Carlson,wallkenneth@example.com
INV000006,ELE1344,Camera,38,2025-05-24 08:10:51,0.0,C0029,Italy,Electronics,Victoria Garcia,zchandler@example.org
INV000007,BOO9423,Technical Manual,16,2024-04-16 23:48:32,28.57,C0005,Switzerland,Books,Gabrielle Davis,howardmaurice@example.com
INV000007,SPO4981,Water Bottle,31,2023-05-13 07:46:27,80.94,C0074,Austria,Sports,Sarah Ashley,vmedina@example.net
INV000008,HOM1887,Clock,44,2024-01-21 13:13:46,65.69,C0055,Poland,Home & Garden,Victoria Johnson,yreed@example.com
INV000008,CLO4116,Jacket,35,2023-07-04 00:11:39,45.41,C0014,Switzerland,Clothing,Zachary Hicks,camposmichelle@example.org
INV000009,HOM2604,Rug,4,2025-05-16 22:28:14,0.0,C0010,Germany,Home & Garden,Joel Nelson,gabriellecameron@example.org
INV000010,HOM7570,Plant Pot,-4,2024-10-08 12:05:31,17.3,C0063,Switzerland,Home & Garden,Frances Cardenas,emilywalker@example.org
INV000010,BOO8973,Journal,10,2025-07-30 21:09:37,19.8,C0059,Belgium,Books,Erika Terry,jamesortega@example.com
INV000010,BOO1821,Fiction Book,38,2025-07-15 01:13:10,48.2,C0008,France,Books,Dr. Sharon James,xreid@example.org
INV000011,ELE2122,Tablet,39,2023-12-17 14:13:34,7.73,C0066,Austria,Electronics,Colleen Brock,pwilliams@example.org
INV000011,CLO1651,Boots,40,2025-03-22 18:54:58,9.12,C0073,Italy,Clothing,Alicia Gilmore,wwoods@example.com
INV000012,CLO4910,Hat,17,2024-08-13 21:31:14,40.18,C0034,Poland,Clothing,Michael Cross,smoore@example.org
INV000013,ELE8508,Laptop,40,2024-11-30 20:23:47,99.85,C0097,EIRE,Electronics,Paige Carlson,wallkenneth@example.com
INV000014,CLO2127,Hat,16,2024-11-18 17:50:07,37.58,C0034,Poland,Clothing,Michael Cross,smoore@example.org
INV000014,SPO5905,Football,43,2024-04-06 22:07:41,11.26,C0079,Belgium,Sports,Trevor Fisher,ruizkaitlyn@example.org
INV000014,SPO5462,Yoga Mat,19,2025-07-03 05:48:26,60.88,C0096,Germany,Sports,Tiffany Vaughn,javierwashington@example.net
INV000015,SPO5114,Water Bottle,4,2024-10-28 03:56:06,10.14,C0034,Poland,Sports,Michael Cross,smoore@example.org
INV000016,CLO3647,Shoes,48,2024-04-19 09:24:02,44.74,C0099,Netherlands,Clothing,Beth Oneill,agarcia@example.net
